Model,Dimensions,Pearson,MSE,MAE
Baseline Cosinus Simple,50D,0.17515624231896687,6.156660395596509,2.3354133234692034
Baseline Cosinus TF-IDF,50D,0.2886789280331502,5.862487304183411,2.2793279817451397
Baseline Cosinus Simple,100D,0.21304319520654946,5.936302953239455,2.290624667539747
Baseline Cosinus TF-IDF,100D,0.32222613982437504,5.572608429233585,2.2196028547189344
Baseline Cosinus Simple,150D,0.24181121631779626,5.70403281118948,2.2424325373295813
Baseline Cosinus TF-IDF,150D,0.3563928265013202,5.332224974149063,2.169574175069049
Baseline Cosinus Simple,300D,0.2435856248482825,5.424708233486997,2.1816047348184675
Baseline Cosinus TF-IDF,300D,0.35434772113191754,5.084731002459978,2.115080886505484
Model Agregat,50D,0.38891705432176704,0.651528414882741,0.6025878153467179
Model Agregat,100D,0.41824222775890885,0.6177738841234959,0.5915114650535583
Model Agregat,150D,0.41173163170185817,0.6345920369756402,0.6129830996513367
Model Agregat,300D,0.440120408841923,0.6135842921291883,0.595228803243637
Model Seqüència (Frozen),50D,0.3029305512844034,3.2101793831660763,1.5979888544273377
Model Seqüència (Trainable),50D,0.13340027318954276,3.209691032878557,1.5977888779830933
Model Seqüència (Random),50D,0.08659737095172508,3.2103453318876003,1.5979684263658522
Model Seqüència (Frozen),100D,0.3095318824821116,3.2099569211613934,1.5979069700431823
Model Seqüència (Trainable),100D,0.13338986809319378,3.2094889047717854,1.5977182259750367
Model Seqüència (Random),100D,0.03167197489166067,3.209930515932265,1.597840887207985
Model Seqüència (Frozen),150D,0.21217385276081824,3.2097637681485756,1.5978285415363311
Model Seqüència (Trainable),150D,0.06987288573369724,3.2096580910351684,1.5977810036134719
Model Seqüència (Random),150D,0.051810120973031615,3.209677357511893,1.5977660066080093
Model Seqüència (Frozen),300D,0.20489157615600284,3.2097321189299732,1.597813386697769
Model Seqüència (Trainable),300D,0.10011096227338727,3.2095086174533516,1.597737407822609
Model Seqüència (Random),300D,0.09315029802563916,3.209611014176745,1.5977437359285354
RoBERTa Base,50D,0.46961205326142375,6.194461127946836,2.3467085111999513
RoBERTa Base,100D,0.46666309770467984,6.307838430601262,2.3682609661483767
RoBERTa Base,150D,0.4798172822024912,6.297709261629037,2.366380256500244
RoBERTa Base,300D,0.4847059512001341,6.267374204459088,2.36045944103241
RoBERTa Base,768D,0.477782376789745,6.534671274317131,2.4112007664108277
RoBERTa Base,50D,0.46961205326142375,6.194461127946836,2.3467085111999513
RoBERTa Base,10D,0.46961205326142375,6.194461127946836,2.3467085111999513
RoBERTa Base,10D,0.46961205326142375,6.194461127946836,2.3467085111999513
RoBERTa Base,10D,0.3643567359672064,3.283955214283745,1.624365643877983
